arrival_time (minutes),p1 throughput,p2 throughput,p3 throughput
3515.418371719102710047156517,119,91,84
3515.418371719102710047156517,119,91,84
3520.617021281417555004567867,119,91,84
3520.617021281417555004567867,119,91,84
3520.841409496939212390499187,119,91,84
3520.841409496939212390499187,119,91,84
3522.262426870667083903866136,119,91,84
3522.262426870667083903866136,119,91,84
3524.778250347791636135964290,120,91,84
3524.778250347791636135964290,120,91,84
3546.281230507832662105839087,120,91,84
3546.281230507832662105839087,120,91,84
3552.517932832545189384743957,120,91,84
3552.517932832545189384743957,120,91,84
3557.585159957990207239332018,120,91,85
3557.585159957990207239332018,120,91,85
3564.911841258287270676531101,121,91,85
3564.911841258287270676531101,121,91,85
3582.705058007091270070644008,121,91,85
3582.705058007091270070644008,121,91,85
3583.319888160228943711272701,121,91,85
3583.319888160228943711272701,121,91,85
3583.342028507106880800604266,121,91,85
3583.342028507106880800604266,121,91,85
3583.638837269128625965587157,121,91,86
3583.638837269128625965587157,121,91,86
3590.949379216613491209498558,121,91,86
3590.949379216613491209498558,121,91,86
3591.133775732533935579949592,122,91,86
3591.133775732533935579949592,122,91,86
3607.523617618550834421965216,122,92,86
3607.523617618550834421965216,122,92,86
3607.843197497641645958067237,122,92,86
3607.843197497641645958067237,122,92,86
3624.729539593443489712610607,122,92,86
3624.729539593443489712610607,122,92,86
3626.762889650623116958639593,122,92,86
3626.762889650623116958639593,122,92,86
3629.223286645114682306468602,123,92,86
3629.223286645114682306468602,123,92,86
3639.005358925933639383854849,123,92,86
3639.005358925933639383854849,123,92,86
3641.059893400401677658107837,123,92,86
3641.059893400401677658107837,123,92,86
3644.757926211975017508960288,123,92,86
3645.911853483107818311493610,124,92,86
3645.911853483107818311493610,124,92,86
3652.872210197113772437772265,124,92,87
3652.872210197113772437772265,124,92,87
3652.872210197113772437772265,124,92,87
3658.020464075208403413098403,124,92,87
3658.020464075208403413098403,124,92,87
3663.770552211427357617635516,124,92,87
3663.770552211427357617635516,124,92,87
3665.281484617873533164212654,125,92,87
3665.281484617873533164212654,125,92,87
3681.932976272696264800400083,125,92,88
3681.932976272696264800400083,125,92,88
3683.735329444660095153164272,125,92,88
3683.735329444660095153164272,125,92,88
3685.438452357915223365548465,126,92,88
3685.438452357915223365548465,126,92,88
3685.742726373177126845460431,126,92,88
3685.742726373177126845460431,126,92,88
3685.805122293799562129879880,126,92,88
3686.261055983683730045475694,126,92,89
3686.261055983683730045475694,126,92,89
3686.261055983683730045475694,126,92,89
3692.513989236815814746540435,126,92,89
3696.306117597587422694328276,126,92,89
3696.306117597587422694328276,126,92,89
3701.707977005194676387912247,126,92,90
3701.707977005194676387912247,126,92,90
3701.707977005194676387912247,126,92,90
3711.544259306546893093848618,126,92,90
3711.637035790554565893085461,126,92,90
3711.637035790554565893085461,126,92,90
3712.220462162727084807546143,127,92,90
3712.220462162727084807546143,127,92,90
3720.044624590966479369736655,127,92,90
3720.044624590966479369736655,127,92,90
3726.872174794468420453764404,127,92,90
3726.872174794468420453764404,127,92,90
3729.793831378844892585956197,128,92,90
3729.793831378844892585956197,128,92,90
3741.208888786763485721277059,128,92,91
3741.208888786763485721277059,128,92,91
3741.208888786763485721277059,128,92,91
3744.965857466649718896857005,128,92,91
3744.965857466649718896857005,128,92,91
3750.796690925663331060203357,128,92,91
3750.796690925663331060203357,128,92,91
3751.660413587431194224809142,129,92,91
3751.660413587431194224809142,129,92,91
3757.604057074596526711652603,129,92,91
3757.604057074596526711652603,129,92,91
3773.921487349566232262000102,129,92,91
3773.921487349566232262000102,129,92,91
3776.271511225952077240642683,130,92,91
3776.271511225952077240642683,130,92,91
3780.431414223318367826887945,130,92,91
3787.482670979746923587750710,130,92,92
3787.482670979746923587750710,130,92,92
3787.482670979746923587750710,130,92,92
3795.549044016046751191307588,130,92,92
3795.549044016046751191307588,130,92,92
3801.349020321137987999727573,130,92,92
3801.349020321137987999727573,130,92,92
3802.279400644007623386922726,130,93,92
3802.279400644007623386922726,130,93,92
3811.683264923154147505780268,130,93,93
3811.683264923154147505780268,130,93,93
3811.914995471176064010588628,130,93,93
3811.914995471176064010588628,130,93,93
3816.021772114091699388605842,130,94,93
3816.021772114091699388605842,130,94,93
3816.251282768104429089285093,130,94,93
3816.251282768104429089285093,130,94,93
3817.880071171551282250612206,131,94,93
3817.880071171551282250612206,131,94,93
3822.907609416266205680013694,131,94,93
3822.907609416266205680013694,131,94,93
3827.551379749710825174170184,131,94,93
3827.551379749710825174170184,131,94,93
3833.533792081338136626734484,131,94,93
3833.533792081338136626734484,131,94,93
3835.264566557447002105086556,131,95,93
3835.264566557447002105086556,131,95,93
3843.771007764125176820791710,131,95,93
3843.771007764125176820791710,131,95,93
3846.279379493565696644164813,131,95,93
3846.279379493565696644164813,131,95,93
3847.858760144998866793209816,132,95,93
3847.858760144998866793209816,132,95,93
3851.793016308354915012480449,132,95,93
3851.793016308354915012480449,132,95,93
3861.863788848877185345465948,132,96,93
3861.863788848877185345465948,132,96,93
3863.975344582062651533683509,132,96,93
3863.975344582062651533683509,132,96,93
3868.967675422173028288775657,133,96,93
3868.967675422173028288775657,133,96,93
3876.801913600687777084808675,133,96,93
3876.801913600687777084808675,133,96,93
3880.768281541240438523910665,133,96,93
3880.768281541240438523910665,133,96,93
3880.963917334742160412442739,133,96,94
3880.963917334742160412442739,133,96,94
3882.143139845639113772791421,133,96,94
3882.143139845639113772791421,133,96,94
3882.947239053933580122724737,134,96,94
3882.947239053933580122724737,134,96,94
3891.396614891945428491904817,134,96,94
3891.396614891945428491904817,134,96,94
3896.041732533760881660779045,134,96,95
3896.041732533760881660779045,134,96,95
3905.839997411202931388630492,134,96,95
3905.839997411202931388630492,134,96,95
3908.907267648992891760141060,134,96,95
3908.907267648992891760141060,134,96,95
3931.145200903895345035722090,134,96,95
3931.145200903895345035722090,134,96,95
3931.367384514751701483415740,134,96,95
3931.647475277860819065979018,134,96,95
3931.647475277860819065979018,134,96,95
3944.451803448703131294906558,134,96,96
3944.451803448703131294906558,134,96,96
3944.451803448703131294906558,134,96,96
3958.032705353830968309837050,135,96,96
3958.032705353830968309837050,135,96,96
3969.661088103830908014658422,135,96,96
3969.661088103830908014658422,135,96,96
3973.826856349249985878913963,135,96,97
3973.826856349249985878913963,135,96,97
3974.363919003050181345316520,135,96,97
3974.363919003050181345316520,135,96,97
3978.149144297467394682855417,135,96,97
3978.515710408266525167420883,135,96,97
3978.515710408266525167420883,135,96,97
3979.229144858241361793816696,136,96,97
3979.229144858241361793816696,136,96,97
3993.069186963005182700926257,136,96,97
3993.069186963005182700926257,136,96,97
3993.930329714601610869629569,136,96,97
3993.930329714601610869629569,136,96,97
3994.197720282405656778480266,136,96,98
3994.197720282405656778480266,136,96,98
3994.197720282405656778480266,136,96,98
3994.231610418199265833739433,137,96,98
3994.231610418199265833739433,137,96,98
4002.470746012163159722519782,137,96,98
4002.470746012163159722519782,137,96,98
4018.218445884190065743092093,137,96,98
4018.218445884190065743092093,137,96,98
4018.541480382487075107889910,137,96,98
4018.541480382487075107889910,137,96,98
4019.474342514029635143658385,137,97,98
4019.474342514029635143658385,137,97,98
4021.859962058248027761742962,137,97,99
4021.859962058248027761742962,137,97,99
4026.253917915425663910156988,137,97,99
4026.253917915425663910156988,137,97,99
4027.852956845173684331307997,137,97,99
4027.852956845173684331307997,137,97,99
4029.902917171320695067572062,138,97,99
4029.902917171320695067572062,138,97,99
4038.638878046875839845420743,138,97,99
4038.638878046875839845420743,138,97,99
4042.533525949057845028989692,138,98,99
4042.533525949057845028989692,138,98,99
4049.639183091971524365072256,138,98,99
4049.639183091971524365072256,138,98,99
4056.565529692900288561752987,138,98,99
4056.565529692900288561752987,138,98,99
4058.371785451266052469954971,139,98,99
4058.371785451266052469954971,139,98,99
4059.532125805032363420111511,139,98,99
4059.532125805032363420111511,139,98,99
4063.060571047264855205406221,139,98,99
4063.060571047264855205406221,139,98,99
4065.452353348701151648293163,139,98,99
4065.452353348701151648293163,139,98,99
4067.066725355061666125956223,139,98,99
4067.066725355061666125956223,139,98,99
4067.196517415671197815730566,140,98,99
4067.196517415671197815730566,140,98,99
4075.388962441728365494243195,140,99,99
4075.388962441728365494243195,140,99,99
4079.161741120688930895888704,140,99,99
4079.161741120688930895888704,140,99,99
4079.862851213533385031696258,140,100,99
4079.862851213533385031696258,140,100,99
4089.464910911904205438106334,140,100,99
4089.464910911904205438106334,140,100,99
4091.861561870734813851414362,140,101,99
4091.861561870734813851414362,140,101,99
4094.305295052625807717739705,140,101,99
4094.305295052625807717739705,140,101,99
4096.816581861245896068802510,141,101,99
4096.816581861245896068802510,141,101,99
4098.354138578062681919967660,141,101,99
4098.354138578062681919967660,141,101,99
4106.769401480114783954179262,141,101,99
4106.769401480114783954179262,141,101,99
4111.488416673641176491750017,141,101,99
4111.488416673641176491750017,141,101,99
4114.182920616241570766825376,141,101,99
4114.182920616241570766825376,141,101,99
4115.190463058215327297518530,141,101,99
4115.190463058215327297518530,141,101,99
4122.282466184970920598296985,142,101,99
4122.282466184970920598296985,142,101,99
4122.570258156357976520923518,142,101,100
4122.570258156357976520923518,142,101,100
4130.402117895263718128973966,142,101,100
4130.402117895263718128973966,142,101,100
4136.028165151924387200389234,142,101,100
4136.028165151924387200389234,142,101,100
4139.870040191017034803878420,142,101,101
4139.870040191017034803878420,142,101,101
4143.329308530355341378737836,142,101,101
4143.329308530355341378737836,142,101,101
4146.765204181124025129890657,142,102,101
4146.765204181124025129890657,142,102,101
4147.307493452788706901125139,142,102,101
4147.307493452788706901125139,142,102,101
4147.672820735428307804327534,142,103,101
4147.672820735428307804327534,142,103,101
4149.462836361458381607470770,143,103,101
4149.462836361458381607470770,143,103,101
4152.167030514620971982432153,143,103,101
4152.167030514620971982432153,143,103,101
4157.149678589386337069556436,143,103,101
4157.149678589386337069556436,143,103,101
4161.963758852672654509952978,143,103,101
4161.963758852672654509952978,143,103,101
4165.128306966050595684159831,143,103,101
4165.128306966050595684159831,143,103,101
4166.762908446475098057427446,144,103,101
4166.762908446475098057427446,144,103,101
4171.411725072080482835446862,144,103,101
4179.817119484383894945978870,144,103,102
4179.817119484383894945978870,144,103,102
4179.817119484383894945978870,144,103,102
4181.271856246573652505561274,144,103,103
4181.271856246573652505561274,144,103,103
4182.788111502272798492897170,144,103,103
4182.788111502272798492897170,144,103,103
4186.229001076808342830305225,144,104,103
4186.229001076808342830305225,144,104,103
4187.283753500517659596803256,144,104,103
